state,date,state.1,index,neg,neu,pos,compound
Connecticut,2020-06-20,Connecticut,218388.11764705885,0.0835294117647058,0.8346470588235294,0.0818235294117647,-0.0083529411764705
Connecticut,2020-06-21,Connecticut,219393.88888888888,0.1401111111111111,0.8361111111111111,0.0237777777777777,-0.2612777777777777
Connecticut,2020-06-22,Connecticut,220958.96875,0.05775,0.86965625,0.072625,0.035203125
Connecticut,2020-06-23,Connecticut,223086.29032258064,0.0589032258064516,0.8181612903225807,0.1229354838709677,0.0741903225806451
Connecticut,2020-06-24,Connecticut,225837.29824561405,0.0291052631578947,0.9221403508771928,0.048719298245614,0.0125122807017543
Connecticut,2020-06-25,Connecticut,228398.04,0.07162,0.8923000000000001,0.0360799999999999,-0.06184
Connecticut,2020-06-26,Connecticut,230878.08771929823,0.0706666666666666,0.8809649122807018,0.0483859649122807,-0.0475842105263157
Connecticut,2020-06-27,Connecticut,233260.1,0.04315,0.8846999999999999,0.0721,0.02601
Connecticut,2020-06-28,Connecticut,234537.3076923077,0.0535384615384615,0.7602307692307692,0.1861538461538461,0.1046769230769231
Connecticut,2020-06-29,Connecticut,236283.45945945947,0.0937027027027027,0.8347837837837838,0.0715675675675675,-0.0566648648648648
Connecticut,2020-06-30,Connecticut,238414.2978723404,0.0497446808510638,0.8788510638297872,0.0713617021276595,0.0231468085106383
Connecticut,2020-07-01,Connecticut,241384.52777777775,0.04675,0.8940555555555556,0.0591944444444444,0.0257222222222222
Connecticut,2020-07-02,Connecticut,243883.8620689655,0.0315862068965517,0.909103448275862,0.0593103448275862,0.0574482758620689
Connecticut,2020-07-03,Connecticut,246259.18181818185,0.0235454545454545,0.8999545454545455,0.0765,0.1201545454545454
Connecticut,2020-07-04,Connecticut,247708.9090909091,0.087,0.8582727272727273,0.0547272727272727,-0.0659
Connecticut,2020-07-05,Connecticut,248766.66666666663,0.0696666666666666,0.9162222222222224,0.0141111111111111,-0.0985444444444444
Connecticut,2020-07-06,Connecticut,250133.8205128205,0.0338461538461538,0.8997179487179486,0.0664358974358974,0.0416666666666666
Connecticut,2020-07-07,Connecticut,252282.21276595743,0.0752127659574468,0.8475744680851064,0.0772127659574468,-0.0034978723404255
Connecticut,2020-07-08,Connecticut,254800.3055555556,0.0707222222222222,0.8869722222222223,0.0423055555555555,-0.0371944444444444
Connecticut,2020-07-09,Connecticut,257634.79166666663,0.0996666666666666,0.8039166666666667,0.0964166666666666,-0.0219541666666666
Connecticut,2020-07-10,Connecticut,259845.87096774197,0.0749677419354838,0.890483870967742,0.0345483870967741,-0.0651870967741935
Connecticut,2020-07-11,Connecticut,262014.8823529412,0.0395882352941176,0.8482352941176471,0.1121176470588235,0.1700411764705882
Connecticut,2020-07-12,Connecticut,263003.2,0.0477999999999999,0.8472,0.1049999999999999,0.03102
Connecticut,2020-07-13,Connecticut,264928.9310344828,0.0388275862068965,0.8707931034482759,0.0903793103448275,0.0704724137931034
Connecticut,2020-07-14,Connecticut,267177.2456140351,0.1062105263157894,0.8332105263157895,0.0605964912280701,-0.0716438596491228
Connecticut,2020-07-15,Connecticut,269830.9210526316,0.1058684210526315,0.8002631578947369,0.0938157894736842,-0.0149736842105263
Connecticut,2020-07-16,Connecticut,272826.05,0.102325,0.826075,0.0716,-0.0291375
Connecticut,2020-07-17,Connecticut,275548.5897435897,0.0701282051282051,0.8426666666666666,0.0872307692307692,0.0300076923076923
Connecticut,2020-07-18,Connecticut,277309.4,0.0923333333333333,0.84,0.0676666666666666,-0.01276
Connecticut,2020-07-19,Connecticut,278498.93333333335,0.1065333333333333,0.8424666666666667,0.051,-0.08768
Connecticut,2020-07-20,Connecticut,279968.6666666667,0.0747142857142857,0.8120476190476191,0.1131428571428571,0.0641285714285714
Connecticut,2020-07-21,Connecticut,282074.53846153844,0.0916410256410256,0.7713333333333333,0.137102564102564,0.0949153846153846
Connecticut,2020-07-22,Connecticut,284407.5098039216,0.0561372549019607,0.8504117647058824,0.0934705882352941,0.0738411764705882
Connecticut,2020-07-23,Connecticut,287034.9117647059,0.0575882352941176,0.8190588235294117,0.1233529411764705,0.1059147058823529
