submission_date,state,tot_cases,new_case,tot_death,new_death
6/24/2020,AK,797,14,16,0
6/25/2020,AK,821,24,16,0
6/26/2020,AK,839,18,17,1
6/27/2020,AK,858,19,17,0
6/28/2020,AK,887,29,17,0
6/29/2020,AK,908,21,17,0
6/30/2020,AK,944,36,17,0
7/1/2020,AK,982,38,18,1
7/2/2020,AK,1020,38,18,0
7/3/2020,AK,1065,45,18,0
7/4/2020,AK,1114,49,18,0
7/5/2020,AK,1141,27,18,0
7/6/2020,AK,1168,27,18,0
7/7/2020,AK,1186,18,18,0
7/8/2020,AK,1226,40,18,0
7/9/2020,AK,1273,47,20,2
7/10/2020,AK,1323,50,21,1
7/11/2020,AK,1386,63,21,0
7/12/2020,AK,1478,92,21,0
7/13/2020,AK,1537,59,21,0
7/14/2020,AK,1580,43,22,1
7/15/2020,AK,1631,51,25,3
7/16/2020,AK,1694,63,27,2
7/17/2020,AK,1736,42,27,0
7/18/2020,AK,1798,62,27,0
7/19/2020,AK,1881,83,27,0
7/20/2020,AK,1954,73,28,1
7/21/2020,AK,2044,90,28,0
7/22/2020,AK,2138,94,30,2
7/23/2020,AK,2202,64,30,0
7/24/2020,AK,2259,57,30,0
7/25/2020,AK,2347,88,32,2
7/26/2020,AK,2532,185,32,0
7/27/2020,AK,2626,94,32,0
7/28/2020,AK,2735,109,33,1
7/29/2020,AK,2803,68,33,0
7/30/2020,AK,2887,84,33,0
7/31/2020,AK,2993,106,33,0
8/1/2020,AK,3138,145,34,1
8/2/2020,AK,3274,136,36,2
8/3/2020,AK,3333,59,36,0
8/4/2020,AK,3393,60,37,1
8/5/2020,AK,3448,55,38,1
8/6/2020,AK,3488,40,38,0
8/7/2020,AK,3543,55,40,2
8/8/2020,AK,3622,79,40,0
8/9/2020,AK,3720,98,42,2
8/10/2020,AK,3788,68,42,0
8/11/2020,AK,3837,49,42,0
8/12/2020,AK,3898,61,43,1
8/13/2020,AK,3979,81,43,0
8/14/2020,AK,4079,100,46,3
8/15/2020,AK,4163,84,46,0
8/16/2020,AK,4265,102,47,1
8/17/2020,AK,4315,50,50,3
8/18/2020,AK,4381,66,50,0
8/19/2020,AK,4454,73,50,0
8/20/2020,AK,4537,83,50,0
8/21/2020,AK,4606,69,50,0
8/22/2020,AK,4694,88,50,0
8/23/2020,AK,4760,66,50,0
8/24/2020,AK,4832,72,50,0
8/25/2020,AK,4865,33,50,0
8/26/2020,AK,4917,52,50,0
8/27/2020,AK,5002,85,52,2
8/28/2020,AK,5118,116,52,0
8/29/2020,AK,5211,93,52,0
8/30/2020,AK,5254,43,52,0
8/31/2020,AK,5290,36,52,0
9/1/2020,AK,5325,35,52,0
9/2/2020,AK,5390,65,53,1
9/3/2020,AK,5476,86,53,0
9/4/2020,AK,5595,119,55,2
9/5/2020,AK,5682,87,55,0
9/6/2020,AK,5776,94,56,1
9/7/2020,AK,5810,34,57,1
9/8/2020,AK,5844,34,58,1
9/9/2020,AK,5909,65,58,0
9/10/2020,AK,6023,114,58,0
9/11/2020,AK,6112,89,58,0
9/12/2020,AK,6215,103,59,1
9/13/2020,AK,6277,62,59,0
9/14/2020,AK,6351,74,59,0
9/15/2020,AK,6394,43,59,0
9/16/2020,AK,6444,50,59,0
9/17/2020,AK,6552,108,59,0
9/18/2020,AK,6659,107,60,1
9/19/2020,AK,6753,94,61,1
9/20/2020,AK,6861,108,62,1
9/21/2020,AK,6931,70,63,1
9/22/2020,AK,6988,57,63,0
9/23/2020,AK,7064,76,64,1
9/24/2020,AK,7195,131,66,2
9/25/2020,AK,7321,126,68,2
9/26/2020,AK,7440,119,68,0
9/27/2020,AK,7550,110,68,0
9/28/2020,AK,7664,114,68,0
9/29/2020,AK,7788,124,68,0
9/30/2020,AK,7891,103,69,1
10/1/2020,AK,8029,138,71,2
10/2/2020,AK,8170,141,73,2
10/3/2020,AK,8312,142,73,0
10/4/2020,AK,8451,139,74,1
10/5/2020,AK,8646,195,75,1
10/6/2020,AK,8792,146,75,0
10/7/2020,AK,8914,122,77,2
10/8/2020,AK,9048,134,78,1
10/9/2020,AK,9233,185,79,1
10/10/2020,AK,9464,231,80,1
10/11/2020,AK,9714,250,82,2
10/12/2020,AK,9904,190,83,1
10/13/2020,AK,10062,158,86,3
10/14/2020,AK,10218,156,88,2
10/15/2020,AK,10383,165,88,0
10/16/2020,AK,10604,221,89,1
10/17/2020,AK,10814,210,91,2
10/18/2020,AK,11024,210,91,0
10/19/2020,AK,11226,202,91,0
10/20/2020,AK,11458,232,93,2
10/21/2020,AK,11682,224,95,2
10/22/2020,AK,11921,239,95,0
10/23/2020,AK,12169,248,97,2
10/24/2020,AK,12525,356,97,0
10/25/2020,AK,13042,517,100,3
10/26/2020,AK,13392,350,102,2
10/27/2020,AK,13780,388,105,3
10/28/2020,AK,14165,385,108,3
10/29/2020,AK,14534,369,112,4
10/30/2020,AK,14931,397,116,4
10/31/2020,AK,15398,467,116,0
11/1/2020,AK,15757,359,116,0
11/2/2020,AK,16108,351,120,4
11/3/2020,AK,16512,404,122,2
11/4/2020,AK,16936,424,125,3
11/5/2020,AK,17263,327,125,0
11/6/2020,AK,17774,511,125,0
11/7/2020,AK,18381,607,128,3
11/8/2020,AK,18888,507,133,5
11/9/2020,AK,19347,459,136,3
11/10/2020,AK,19898,551,136,0
11/11/2020,AK,20388,490,142,6
11/12/2020,AK,20862,474,144,2
11/13/2020,AK,21476,614,148,4
11/14/2020,AK,22231,755,155,7
11/15/2020,AK,22857,626,158,3
11/16/2020,AK,23418,561,159,1
11/17/2020,AK,24059,641,160,1
11/18/2020,AK,24634,575,162,2
11/19/2020,AK,25176,542,166,4
11/20/2020,AK,25651,475,168,2
11/21/2020,AK,26322,671,171,3
11/22/2020,AK,26844,522,173,2
11/23/2020,AK,27350,506,179,6
11/24/2020,AK,27954,604,183,4
