196,13,124,54,1367,385,429,37,1031,570,28,144,986,406,52,54,113,1187,41,325,1118,1690,53,154,261,25,39,166,48,3559,48,3617,212,21,348,91,46,993,69,161,21,283,730,78,27,222,428,29,199,17
223,8,185,65,1251,403,267,32,1268,637,39,222,715,474,65,70,148,2726,32,346,1228,1218,47,154,269,16,50,179,64,3335,40,4299,239,12,355,107,90,1132,102,219,36,272,669,153,37,306,464,26,180,13
208,11,171,59,1501,450,1091,172,1280,488,23,122,1209,418,85,68,99,1147,56,427,1436,1296,0,157,226,18,24,56,61,4305,92,5132,222,14,410,110,73,1387,65,255,22,239,659,81,29,0,343,20,186,16
145,11,250,5,1371,390,361,60,1149,422,15,64,1453,496,87,78,103,2199,24,367,1334,1084,76,143,130,19,37,228,81,4229,48,4694,203,13,427,90,100,1704,98,150,25,258,788,182,63,395,490,45,196,21
157,14,250,110,1512,388,399,71,765,296,18,24,899,458,82,115,70,514,14,920,764,924,121,127,103,19,45,94,48,3381,81,4082,114,21,304,50,69,1437,135,222,28,144,681,177,50,471,395,42,155,13
299,6,187,62,1122,225,1231,94,1159,739,22,69,1006,533,78,32,124,1857,29,326,1337,1458,83,204,293,20,54,117,46,3585,62,3708,86,18,407,58,64,1492,185,139,48,90,480,111,29,455,385,21,173,12
236,22,119,78,1142,269,875,226,1005,1562,21,40,1287,563,102,55,175,1417,20,1158,1365,1316,85,136,218,12,47,134,32,3326,108,3709,399,12,332,85,49,1559,215,185,32,293,988,88,32,312,318,67,138,9
203,13,151,78,1352,264,1000,115,1046,1130,9,22,1529,436,97,176,135,746,18,656,1365,1221,88,178,226,20,45,231,41,3021,71,5616,264,14,366,97,58,1807,259,198,73,200,1092,112,28,397,322,0,178,9
208,9,292,56,1416,552,1003,99,1033,613,11,121,1344,408,125,30,68,1253,23,783,2374,1112,94,185,199,13,54,138,31,3590,124,5397,285,18,364,113,82,2033,274,139,54,231,877,145,18,467,404,111,129,9
179,11,94,75,1461,368,347,154,1089,934,20,43,1465,556,118,135,82,970,23,0,1904,1157,0,180,216,0,73,128,66,3561,102,5218,327,9,366,96,50,1817,286,251,89,172,1441,41,47,0,284,51,183,14
